id,code,info
1,A000,"Холера, вызванная холерным вибрионом 01, биовар cholerae"
2,A001,"Холера, вызванная холерным вибрионом 01, биовар eltor"
3,A009,Холера неуточненная
4,A010,Брюшной тиф
5,A011,Паратиф A
6,A012,Паратиф B
7,A013,Паратиф C
8,A014,Паратиф неуточненный
9,A020,Сальмонеллезный энтерит
10,A021,Сальмонеллезная септицемия
11,A022,Локализованная сальмонеллезная инфекция
12,A028,Другая уточненная сальмонеллезная инфекция
13,A029,Сальмонеллезная инфекция неуточненная
14,A030,"Шигеллез, вызванный Shigella dysenteriae"
15,A0302,"Шигеллез, вызванный Shigella boydii"
16,A031,"Шигеллез, вызванный Shigella flexneri"
17,A033,"Шигеллез, вызванный Shigella sonnei"
18,A038,Другой шигеллез
19,A039,Шигеллез неуточненный
20,A040,"Энтеропатогенная инфекция, вызванная Escherichia coli"
21,A041,"Энтеротоксигенная инфекция, вызванная Escherichia coli"
22,A042,"Энтероинвазивная инфекция, вызванная Escherichia coli"
23,A043,"Энтерогеморрагическая инфекция, вызванная Escherichia coli"
24,A044,"Другие кишечные инфекции, вызванные Escherichia coli"
25,A045,"Энтерит, вызванный Campylobacter"
26,A046,"Энтерит, вызванный Yersinia enterocolitica"
27,A047,"Энтероколит, вызванный Clostridium difficile"
28,A048,Другие уточненные бактериальные кишечные инфекции
29,A049,Бактериальная кишечная инфекция неуточненная
30,A050,Стафилококковое пищевое отравление
31,A051,Ботулизм
32,A052,"Пищевое отравление, вызванное Clostridium perfringens"
33,A053,"Пищевое отравление, вызванное Vibrio parahaemolyticus"
34,A054,"Пищевое отравление, вызванное Bacillus cereus"
35,A058,Другие уточненные бактериальные пищевые отравления
36,A059,Бактериальное пищевое отравление неуточненное
37,A060,Острая амебная дизентерия
38,A061,Хронический кишечный амебиаз
39,A062,Амебный недизентерийный колит
40,A063,Амебома кишечника
41,A064,Амебный абсцесс печени
42,A065,Амебный абсцесс легкого (J99.8*)
43,A066,Амебный абсцесс головного мозга (G07*)
44,A067,Кожный амебиаз
45,A068,Амебная инфекция другой локализации
46,A069,Амебиаз неуточненный
47,A070,Балантидиаз
48,A071,Жиардиаз [лямблиоз]
49,A072,Криптоспоридиоз
50,A073,Изоспороз
51,A078,Другие уточненные протозойные кишечные болезни
52,A079,Протозойная кишечная болезнь неуточненная
53,A080,Ротавирусный энтерит
54,A081,"Острая гастроэнтеропатия, вызванная возбудителем Норволк"
55,A082,Аденовирусный энтерит
56,A083,Другие вирусные энтериты
57,A084,Вирусная кишечная инфекция неуточненная
58,A085,Другие уточненные кишечные инфекции
59,A150,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры"
60,A151,"Туберкулез легких, подтвержденный только ростом культуры"
61,A152,"Туберкулез легких, подтвержденный гистологически"
62,A153,"Туберкулез легких, подтвержденный неуточненными методами"
63,A154,"Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически"
64,A155,"Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически"
65,A156,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически"
66,A157,"Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
67,A158,"Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически"
68,A159,"Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически"
69,A160,Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
70,A161,Туберкулез легких без проведения бактериологического и гистологического исследований
71,A162,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении
72,A163,Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
73,A164,"Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении"
74,A165,Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
75,A167,Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
76,A168,Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
77,A169,Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении
78,A17,Туберкулез нервной системы
79,A170,Туберкулезный менингит (G01*)
80,A171,Менингеальная туберкулема (G07*)
81,A178,Туберкулез нервной системы других локализаций
82,A179,Туберкулез нервной системы неуточненный (G99.8*)
83,A180,Туберкулез костей и суставов
84,A181,Туберкулез мочеполовых органов
85,A182,Туберкулезная периферическая лимфаденопатия
86,A183,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов"
87,A184,Туберкулез кожи и подкожной клетчатки
88,A185,Туберкулез глаза
89,A186,Туберкулез уха
90,A187,Туберкулез надпочечников (E35.1*)
91,A188,Туберкулез других уточненных органов
92,A190,Острый милиарный туберкулез одной уточненной локализации
93,A191,Острый милиарный туберкулез множественной локализации
94,A192,Острый милиарный туберкулез неуточненной локализации
95,A198,Другие формы милиарного туберкулеза
96,A199,Милиарный туберкулез неуточненной локализации
97,A200,Бубонная чума
98,A201,Целлюлярнокожная чума
99,A202,Легочная чума
100,A203,Чумной менингит
101,A207,Септическая чума
102,A208,Другие формы чумы
103,A209,Чума неуточненная
104,A210,Ульцерогландулярная туляремия
105,A211,Окулогландулярная туляремия
106,A212,Легочная туляремия
107,A213,Желудочно-кишечная туляремия
108,A217,Генерализованная туляремия
109,A218,Другие формы туляремии
110,A219,Туляремия неуточненная
111,A220,Кожная форма сибирской язвы
112,A221,Легочная форма сибирской язвы
113,A222,Желудочно-кишечная форма сибирской язвы
114,A227,Сибиреязвенная септицемия
115,A228,Другие формы сибирской язвы
116,A229,Сибирская язва неуточненная
117,A230,"Бруцеллез, вызванный Brucella melitensis"
118,A231,"Бруцеллез, вызванный Brucella abortus"
119,A232,"Бруцеллез, вызванный Brucella suis"
120,A233,"Бруцеллез, вызванный Brucella canis"
121,A238,Другие формы бруцеллеза
122,A239,Бруцеллез неуточненный
123,A240,Сап
124,A241,Острый или молниеносный мелиоидоз
125,A242,Подострый и хронический мелиоидоз
126,A243,Другой уточненный мелиоидоз
127,A244,Мелиоидоз неуточненный
128,A250,Спириллез
129,A251,Стрептобациллез
130,A259,Лихорадка от укуса крыс неуточненная
131,A260,Кожный эризипелоид
132,A267,"Септицемия, вызванная Erysipelothrix"
133,A268,Другие формы эризипелоида
134,A269,Эризипелоид неуточненный
135,A270,Лептоспироз желтушно-геморрагический
136,A278,Другие формы лептоспироза
137,A279,Лептоспироз неуточненный
138,A280,Пастереллез
139,A281,Лихорадка от кошачьих царапин
140,A282,Экстраинтестинальный иерсиниоз
141,A288,"Другие уточненные бактериальные зоонозы, не классифи-"
142,A289,Бактериальные зоонозы неуточненные
143,A300,Недифференцированная лепра
144,A301,Туберкулоидная лепра
145,A302,Пограничная туберкулоидная лепра
146,A303,Пограничная лепра
147,A304,Пограничная лепроматозная лепра
148,A305,Лепроматозная лепра
149,A308,Другие формы лепры
150,A309,Лепра неуточненная
151,A310,"Легочная инфекция, вызванная Mycobacterium"
152,A311,"Кожная инфекция, вызванная Mycobacterium"
153,A318,"Другие инфекции, вызванные Mycobacterium"
154,A319,"Инфекция, вызванная Mycobacterium, неуточненная"
155,A320,Кожный листериоз
156,A321,Листериозный менингит и менингоэнцефалит
157,A327,Листериозная септицемия
158,A328,Другие формы листериоза
159,A329,Листериоз неуточненный
160,A360,Дифтерия глотки
161,A361,Дифтерия носоглотки
162,A362,Дифтерия гортани
163,A363,Дифтерия кожи
164,A368,Другая дифтерия
165,A369,Дифтерия неуточненная
166,A370,"Коклюш, вызванный Bordetella pertussis"
167,A371,"Коклюш, вызванный Bordetella parapertussis"
168,A378,"Коклюш, вызванный другим уточненным возбудителем вида Bordetella"
169,A379,Коклюш неуточненный
170,A390,Менингококковый менингит (G01*)
171,A391,Синдром Уотерхауса-Фридериксена (E35.1*)
172,A392,Острая менингококкемия
173,A393,Хроническая менингококкемия
174,A394,Менингококкемия неуточненная
175,A395,Менингококковая болезнь сердца
176,A398,Другие менингококковые инфекции
177,A399,Менингококковая инфекция неуточненная
178,A400,"Септицемия, вызванная стрептококком группы A"
179,A401,"Септицемия, вызванная стрептококком группы B"
180,A402,"Септицемия, вызванная стрептококком группы D"
181,A403,"Септицемия, вызванная Streptococcus pneumoniae"
182,A408,Другие стрептококковые септицемии
183,A409,Стрептококковая септицемия неуточненная
184,A410,"Септицемия, вызванная Staphylococcus aureus"
185,A411,"Септицемия, вызванная другим уточненным стафилококком"
186,A412,"Септицемия, вызванная неуточненным стафилококком"
187,A413,"Септицемия, вызванная Haemophilus influenzae"
188,A414,"Септицемия, вызванная анаэробами"
189,A415,"Септицемия, вызванная другими грамотрицательными микроорганизмами"
190,A418,Другая уточненная септицемия
191,A419,Септицемия неуточненная
192,A420,Легочный актиномикоз
193,A421,Абдоминальный актиномикоз
194,A422,Шейно-лицевой актиномикоз
195,A427,Актиномикозная септицемия
196,A428,Другие актиномикозы
197,A429,Актиномикоз неуточненный
198,A430,Легочный нокардиоз
199,A431,Нокардиоз кожи
200,A438,Другие формы нокардиоза
201,A439,Нокардиоз неуточненный
202,A440,Системный бартонеллез
203,A441,Кожный и кожно-слизистый бартонеллез
204,A448,Другие бартонеллезы
205,A449,Бартонеллез неуточненный
206,A480,Газовая гангрена
207,A481,Болезнь легионеров
208,A482,Болезнь легионеров без пневмонии [лихорадка Понтиак]
209,A483,Синдром токсического шока
210,A484,Бразильская пурпурная лихорадка
211,A488,Другие уточненные бактериальные болезни
212,A490,Стафилококковая инфекция неуточненная
213,A491,Стрептококковая инфекция неуточненная
214,A492,"Инфекция, вызванная Haemophilus influenzae, неуточненная"
215,A493,"Инфекция, вызванная микоплазмой, неуточненная"
216,A498,Другие бактериальные инфекции неуточненной локализации
217,A499,Бактериальная инфекция неуточненная
218,A500,Ранний врожденный сифилис с симптомами
219,A501,Ранний врожденный сифилис скрытый
220,A502,Ранний врожденный сифилис неуточненный
221,A503,Позднее врожденное сифилитическое поражение глаз
222,A504,Поздний врожденный нейросифилис [ювенильный нейросифилис]
223,A505,Другие формы позднего врожденного сифилиса с симптомами
224,A506,Поздний врожденный сифилис скрытый
225,A507,Поздний врожденный сифилис неуточненный
226,A509,Врожденный сифилис неуточненный
227,A510,Первичный сифилис половых органов
228,A511,Первичный сифилис анальной области
229,A512,Первичный сифилис других локализаций
230,A513,Вторичный сифилис кожи и слизистых оболочек
231,A514,Другие формы вторичного сифилиса
232,A515,Ранний сифилис скрытый
233,A519,Ранний сифилис неуточненный
234,A520,Сифилис сердечно-сосудистой системы
235,A521,Нейросифилис с симптомами
236,A522,Асимптомный нейросифилис
237,A523,Нейросифилис неуточненный
238,A527,Другие симптомы позднего сифилиса
239,A528,Поздний сифилис скрытый
240,A529,Поздний сифилис неуточненный
241,A530,"Скрытый сифилис, неуточненный как ранний или поздний"
242,A539,Сифилис неуточненный
243,A540,Гонококковая инфекция нижних отделов мочеполового тракта без абсцедирования периуретральных или придаточных желез
244,A541,Гонококковая инфекция нижних отделов мочеполового тракта с абсцедированием периуретральных и придаточных желез
245,A542,Гонококковый пельвиоперитонит и другая гонококковая инфекция мочеполовых органов
246,A543,Гонококковая инфекция глаз
247,A544,Гонококковая инфекция костно-мышечной системы
248,A545,Гонококковый фарингит
249,A546,Гонококковая инфекция аноректальной области
250,A548,Другие гонококковые инфекции
251,A549,Гонококковая инфекция неуточненная
252,A560,Хламидийные инфекции нижних отделов мочеполового тракта
253,A561,Хламидийные инфекции органов малого таза и других
254,A562,Хламидийная инфекция мочеполового тракта неуточненная
255,A563,Хламидийная инфекция аноректальной области
256,A564,Хламидийный фарингит
257,A568,"Хламидийные инфекции, передающиеся половым путем, другой локализации"
258,A590,Урогенитальный трихомониаз
259,A598,Трихомониаз других локализаций
260,A599,Трихомониаз неуточненный
261,A600,Герпетические инфекции половых органов и мочеполового тракта
262,A601,Герпетические инфекции перианальных кожных покровов и прямой кишки
263,A609,Аногенитальная герпетическая инфекция неуточненная
264,A630,Аногенитальные (венерические) бородавки
265,A638,"Другие уточненные заболевания, передающиеся преимущественно половым путем"
266,A660,Первичные фрамбезийные поражения
267,A661,Множественные папилломы и пианома подошвенная
268,A662,Другие ранние кожные фрамбезийные поражения
269,A663,Фрамбезийный гиперкератоз
270,A664,Фрамбезийные гуммы и язвы
271,A665,Гангоза
272,A666,Фрамбезийные поражения костей и суставов
273,A667,Другие проявления фрамбезии
274,A668,Латентная фрамбезия
275,A669,Фрамбезия неуточненная
276,A670,Первичные поражения при пинте
277,A671,Промежуточные поражения при пинте
278,A672,Поздние поражения при пинте
279,A673,Смешанные поражения при пинте
280,A679,Пинта неуточненная
281,A680,Вшивая возвратная лихорадка
282,A681,Эпидемический возвратный тиф
283,A689,Возвратная лихорадка неуточненная
284,A690,Некротизирующий язвенный стоматит
285,A691,Другие инфекции Венсана
286,A692,Болезнь Лайма
287,A698,Другие уточненные спирохетозные инфекции
288,A699,Спирохетозная инфекция неуточненная
289,A710,Начальная стадия трахомы
290,A711,Активная стадия трахомы
291,A719,Трахома неуточненная
292,A740,Хламидийный конъюнктивит (H13.1*)
293,A748,Другие хламидийные болезни
294,A749,Хламидийная инфекция неуточненная
295,A750,"Эпидемический вшивый тиф, вызываемый Rickettsia prowazekii"
296,A751,Рецидивирующий тиф [болезнь Брилла]
297,A752,"Тиф, вызываемый Rickettsia typhi"
298,A753,"Тиф, вызываемый Rickettsia tsutsugamushi"
299,A759,Сыпной тиф неуточненный
300,A770,"Пятнистая лихорадка, вызываемая Rickettsia rickettsii"
301,A771,"Пятнистая лихорадка, вызываемая Rickettsia conorii"
302,A772,"Пятнистая лихорадка, вызываемая Rickettsia siberica"
303,A773,"Пятнистая лихорадка, вызываемая Rickettsia australis"
304,A778,Другие пятнистые лихорадки
305,A779,Пятнистая лихорадка неуточненная
306,A790,Окопная лихорадка
307,A791,"Осповидный риккетсиоз, вызываемый Rickettsia akari"
308,A798,Другие уточненные риккетсиозы
309,A799,Риккетсиоз неуточненный
310,A800,"Острый паралитический полиомиелит, ассоциированный с вакциной"
311,A801,"Острый паралитический полиомиелит, вызванный диким завезенным вирусом"
312,A802,"Острый паралитический полиомиелит, вызванный диким природным вирусом"
313,A803,Острый паралитический полиомиелит другой и неуточненный
314,A804,Острый непаралитический полиомиелит
315,A809,Острый полиомиелит неуточненный
316,A810,Болезнь Крейтцфельдта-Якоба
317,A811,Подострый склерозирующий панэнцефалит
318,A812,Прогрессирующая многоочаговая лейкоэнцефалопатия
319,A818,Другие медленные вирусные инфекции центральной нервной системы Куру
320,A819,Медленные вирусные инфекции центральной нервной системы неуточненные
321,A820,Лесное бешенство
322,A821,Городское бешенство
323,A829,Бешенство неуточненное
324,A830,Японский энцефалит
325,A831,Западный лошадиный энцефалит
326,A832,Восточный лошадиный энцефалит
327,A833,Энцефалит Сент-Луис
328,A834,Австралийский энцефалит
329,A835,Калифорнийский энцефалит
330,A836,"Болезнь, вызванная вирусом Роцио"
331,A838,Другие комариные вирусные энцефалиты
332,A839,Комариный вирусный энцефалит неуточненный
333,A840,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит]
334,A841,Центральноевропейский клещевой энцефалит
335,A848,Другие клещевые вирусные энцефалиты
336,A849,Клещевой вирусный энцефалит неуточненный
337,A850,Энтеровирусный энцефалит (G05.1*)
338,A851,Аденовирусный энцефалит (G05.1*)
339,A852,"Вирусный энцефалит, передаваемый членистоногими, неуточненный"
340,A858,Другие уточненные вирусные энцефалиты
